Drug ID,Alternative Drug ID,Similarity Score,Shared API Risk,Substitution Notes
D009,D010,0.85,No,Ibuprofen alone is equivalent to the Ibuprofen component of Combiflam and appropriate for inflammatory pain. Loses the synergistic analgesic effect of the Paracetamol combination but clinically adequate for most indications. No shared API risk.
D010,D008,0.82,No,"Paracetamol substitutes adequately for Ibuprofen in fever management and mild pain. Does not provide anti-inflammatory benefit, making it a weaker substitute for musculoskeletal or post-surgical pain specifically. Significantly safer profile — no gastrointestinal or renal risk. Preferred substitute at orthopedic hospitals where pain indications are specific."
D010,D009,0.85,No,"Combiflam contains Ibuprofen as an active component and provides equivalent anti-inflammatory coverage with the added analgesic synergy of Paracetamol. Straightforward substitute for most Ibuprofen indications. Same contraindications as Ibuprofen apply — peptic ulcer, renal impairment, anticoagulants."
D011,D012,0.95,Yes,"Amlodipine 10mg is the higher dose of the same calcium channel blocker. Tablets can be halved to approximate 5mg dosing in stable hypertensive patients under physician supervision. However both strengths use A009 — if Dr Reddy's goes offline both are simultaneously affected, making this substitution unavailable during an A009 disruption. Verify stock independence before recommending. Only viable when one dose is available and the other is not."
D011,D015,0.6,No,"Metoprolol is a beta-1 selective blocker used in hypertension and cardiac conditions. Mechanistically different from Amlodipine (calcium channel blocker) but both reduce blood pressure and cardiac workload. Acceptable last-resort substitution in hypertensive patients who do not have specific contraindications to beta-blockers (asthma, COPD, bradycardia, heart block). Cardiac hospitals like Apollo and Narayana will have physicians capable of making this transition safely. Requires physician review — do not substitute without clinical assessment. Uses A011 (Dr Reddy's + Lupin backup) — no shared API risk with A009."
D012,D011,0.95,Yes,Amlodipine 5mg as a substitute for 10mg — appropriate for patients who can be managed at lower dose or where titration downward is acceptable. Both share A009 — same supply risk applies. Physician review required before reducing dose in patients with difficult-to-control hypertension.
D012,D015,0.6,No,Same reasoning as D011→D015. Metoprolol as last resort cardiovascular substitute. Requires physician review. No shared API risk.
D013,D014,0.95,Yes,"Atorvastatin 20mg as substitute for 10mg — doubling the dose to provide equivalent lipid-lowering effect is not standard practice and carries increased risk of statin-related myopathy and hepatotoxicity. This substitution should only be considered if the higher dose cannot be halved and no other option exists. Both share A010 (Dr Reddy's only) — if Dr Reddy's is offline both are simultaneously affected. In practice, statin shortage is a lower urgency scenario — missing a few weeks of statin therapy is not acutely dangerous in otherwise stable patients."
D014,D013,0.95,Yes,Atorvastatin 10mg as substitute for 20mg — halving dose from 20mg to 10mg reduces lipid-lowering efficacy but is clinically preferable to complete discontinuation. Stable patients with well-controlled cholesterol can tolerate this reduction for 2-4 weeks without significant clinical consequence. Both share A010.
D015,D016,0.95,Yes,"Metoprolol 50mg as substitute for 25mg — dose escalation from 25mg to 50mg is only appropriate if the patient's clinical condition warrants stronger beta-blockade. In post-MI patients or those with heart failure, this may actually be clinically beneficial. In stable hypertensive patients, doubling beta-blocker dose without physician review carries bradycardia risk. Both share A011 — if Dr Reddy's is offline with Lupin partial backup, verify stock independently."
D015,D011,0.6,No,"Amlodipine as substitute for Metoprolol — both are used in hypertension but Metoprolol has specific indications beyond blood pressure including rate control in atrial fibrillation, post-MI cardioprotection, and heart failure management. Amlodipine cannot replace Metoprolol in these cardiac indications. Acceptable only in uncomplicated hypertension where no cardiac indication was driving Metoprolol choice. Requires physician review. No shared API risk."
D016,D015,0.95,Yes,Metoprolol 25mg as substitute for 50mg — dose reduction is appropriate in stable patients and may be preferable in elderly patients or those with borderline bradycardia. Clinically straightforward under physician supervision. Both share A011.
D017,D018,0.8,Yes,"Salbutamol syrup is the oral formulation of the same bronchodilator active ingredient. Significantly slower onset of action (15-30 minutes vs 2-5 minutes for inhaler) and lower bioavailability at bronchial tissue. Entirely inappropriate for acute asthma attacks or acute bronchospasm where rapid bronchodilation is life-saving. Acceptable only for maintenance management of mild persistent asthma in stable patients. Both D017 and D018 share A012 from Cipla — if Cipla is offline both are simultaneously disrupted, making this the most critical dead end in the entire system. No substitution path exists when Cipla goes offline."
D018,D017,0.8,Yes,"Salbutamol inhaler provides faster and more effective bronchodilation than syrup. If inhaler becomes available during a syrup shortage, the switch is clinically beneficial — switch any stable patient from syrup to inhaler immediately. Primary use of syrup is paediatric (children who cannot coordinate inhaler use) — for this population the inhaler is not a direct substitute without a spacer device. Both share A012 Cipla-only risk."
D019,D004,0.85,Yes,Amoxicillin covers most infections Cephalexin is used for with similar efficacy in penicillin-tolerant patients. Approximately 10% of patients with penicillin allergy also react to cephalosporins — if switching from Cephalexin to Amoxicillin the reverse allergy concern is lower but still present. Both share A004 supply risk — must verify Amoxicillin stock independently before recommending during an A004 disruption.
D019,D006,0.72,No,Azithromycin is the safest alternative when A004 is disrupted — completely independent supply chain via A005. Appropriate for respiratory and soft tissue infections. Not appropriate as a substitute for urinary tract infections where Cephalexin has strong efficacy but Azithromycin does not. Clinical review of original indication before substituting.
D020,D007,0.88,No,"Ciprofloxacin and Levofloxacin are both fluoroquinolones with highly overlapping spectrum. Ciprofloxacin has stronger gram-negative and urinary tract coverage. Levofloxacin has stronger respiratory coverage. For most hospitalised patients the clinical difference is negligible and the switch is seamless. Both use A006 (Cipla primary, Sun Pharma backup) — check whether both are affected by the same disruption at query time."
D020,D006,0.7,No,"Azithromycin covers the respiratory indications of Levofloxacin but has significantly narrower gram-negative coverage. Appropriate substitute for community-acquired respiratory infections. Not appropriate for hospital-acquired infections, urinary tract infections, or cases where fluoroquinolone-level coverage was specifically required. No shared API risk — Azithromycin uses A005 which is independent of A006."
